     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
       119: 2022-10-22  1: 0:29.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9568     5628262.5218     2830348.2315       0.00717926       0.00376344       0.00268621 
       120: 2022-10-22  1: 1:29.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9556     5628262.5216     2830348.2309       0.00708301       0.00373944       0.00266011 
       121: 2022-10-22  1: 1:59.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9552     5628262.5216     2830348.2306       0.00698902       0.00371609       0.00263467 
       122: 2022-10-22  1: 2:29.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9569     5628262.5213     2830348.2305       0.00689719       0.00369336       0.00260987 
       123: 2022-10-22  1: 2:59.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9569     5628262.5214     2830348.2309       0.00680744       0.00367122       0.00258569 
       124: 2022-10-22  1: 3:29.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9557     5628262.5219     2830348.2314       0.00671971       0.00364965       0.00256208 
       125: 2022-10-22  1: 3:59.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9562     5628262.5221     2830348.2311       0.00663391       0.00362861       0.00253904 
       126: 2022-10-22  1: 4:29.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9549     5628262.5225     2830348.2309       0.00654998       0.00360809       0.00251654 
       127: 2022-10-22  1: 4:59.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9529     5628262.5233     2830348.2305       0.00646786       0.00358806       0.00249454 
       128: 2022-10-22  1: 5:29.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9508     5628262.5236     2830348.2297       0.00638748       0.00356850       0.00247305 
       129: 2022-10-22  1: 5:59.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9482     5628262.5239     2830348.2289       0.00630878       0.00354938       0.00245202 
       130: 2022-10-22  1: 6:29.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9453     5628262.5240     2830348.2281       0.00623170       0.00353069       0.00243145 
       131: 2022-10-22  1: 6:59.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9442     5628262.5240     2830348.2272       0.00615620       0.00351239       0.00241130 
       132: 2022-10-22  1: 7:29.9940000              6      969180.8895     5628260.3835     2830346.9891      969180.9399     5628262.5246     2830348.2262       0.00608221       0.00349448       0.00239158 
       133: 2022-10-22  1: 7:59.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9393     5628262.5244     2830348.2254       0.00600969       0.00347694       0.00237224 
       134: 2022-10-22  1: 8:29.9950000              6      969180.8895     5628260.3835     2830346.9891      969180.9379     5628262.5248     2830348.2248       0.00593859       0.00345973       0.00235329 
