     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
       145: 2022-10-21  1:13:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9290     5628262.5383     2830348.2275       0.00540452       0.00314464       0.00216229 
       146: 2022-10-21  1:13:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9282     5628262.5384     2830348.2272       0.00534630       0.00313187       0.00214712 
       147: 2022-10-21  1:14:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9284     5628262.5382     2830348.2268       0.00528908       0.00311928       0.00213219 
       148: 2022-10-21  1:14:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9286     5628262.5382     2830348.2263       0.00523282       0.00310687       0.00211749 
       149: 2022-10-21  1:15:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9287     5628262.5384     2830348.2258       0.00517749       0.00309462       0.00210301 
       150: 2022-10-21  1:15:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9277     5628262.5388     2830348.2255       0.00512308       0.00308252       0.00208874 
       151: 2022-10-21  1:16:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9272     5628262.5388     2830348.2250       0.00506956       0.00307056       0.00207467 
       152: 2022-10-21  1:16:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9265     5628262.5389     2830348.2248       0.00501690       0.00305872       0.00206080 
       153: 2022-10-21  1:17:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9259     5628262.5390     2830348.2244       0.00496508       0.00304700       0.00204710 
       154: 2022-10-21  1:17:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9262     5628262.5391     2830348.2242       0.00491409       0.00303539       0.00203358 
       155: 2022-10-21  1:18:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9257     5628262.5393     2830348.2239       0.00486389       0.00302388       0.00202023 
       156: 2022-10-21  1:18:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9264     5628262.5395     2830348.2237       0.00481446       0.00301245       0.00200703 
       157: 2022-10-21  1:19:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9275     5628262.5392     2830348.2236       0.00476580       0.00300110       0.00199399 
       158: 2022-10-21  1:19:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9263     5628262.5394     2830348.2238       0.00471787       0.00298982       0.00198109 
       159: 2022-10-21  1:20:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9245     5628262.5401     2830348.2242       0.00467067       0.00297860       0.00196833 
       160: 2022-10-21  1:20:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9235     5628262.5404     2830348.2241       0.00462416       0.00296743       0.00195570 
       161: 2022-10-21  1:21:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9221     5628262.5410     2830348.2243       0.00457834       0.00295631       0.00194319 
       162: 2022-10-21  1:21:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9204     5628262.5419     2830348.2244       0.00453318       0.00294523       0.00193081 
